form	wsafter	anas	lemma	xpostag
a	" "	[{"lemma": "a", "tag": "[/Det|Art.Def]", "morphana": "a[/Det|Art.Def]=a", "readable": "a[/Det|Art.Def]", "twolevel": "a:a :[/Det|Art.Def]"}, {"lemma": "a", "tag": "[/Det|Pro|(Post)]", "morphana": "a[/Det|Pro|(Post)]=a", "readable": "a[/Det|Pro|(Post)]", "twolevel": "a:a :[/Det|Pro|(Post)]"}, {"lemma": "a", "tag": "[/N][Nom]", "morphana": "a[/N|Ltr]=a+[Nom]=", "readable": "a[/N|Ltr] + [Nom]", "twolevel": "a:a :[/N|Ltr] :[Nom]"}, {"lemma": "a", "tag": "[/N|Pro|(Post)][Nom]", "morphana": "a[/N|Pro|(Post)]=a+[Nom]=", "readable": "a[/N|Pro|(Post)] + [Nom]", "twolevel": "a:a :[/N|Pro|(Post)] :[Nom]"}]	a	[/Det|Art.Def]
gyógyító	" "	[{"lemma": "gyógyító", "tag": "[/Adj][Nom]", "morphana": "gyógyít[/V]=gyógyít+ó[_ImpfPtcp/Adj]=ó+[Nom]=", "readable": "gyógyít[/V] + ó[_ImpfPtcp/Adj] + [Nom]", "twolevel": "g:g y:y ó:ó g:g y:y í:í t:t :[/V] ó:ó :[_ImpfPtcp/Adj] :[Nom]"}]	gyógyító	[/Adj][Nom]
hagyomány	""	[{"lemma": "hagyomány", "tag": "[/N][Nom]", "morphana": "hagyomány[/N]=hagyomány+[Nom]=", "readable": "hagyomány[/N] + [Nom]", "twolevel": "h:h a:a g:g y:y o:o m:m á:á n:n y:y :[/N] :[Nom]"}]	hagyomány	[/N][Nom]
,	" "	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]
az	" "	[{"lemma": "az", "tag": "[/Det|Art.Def]", "morphana": "az[/Det|Art.Def]=az", "readable": "az[/Det|Art.Def]", "twolevel": "a:a z:z :[/Det|Art.Def]"}, {"lemma": "az", "tag": "[/Det|Pro][Nom]", "morphana": "az[/Det|Pro]=az+[Nom]=", "readable": "az[/Det|Pro] + [Nom]", "twolevel": "a:a z:z :[/Det|Pro] :[Nom]"}, {"lemma": "az", "tag": "[/N|Pro][Nom]", "morphana": "az[/N|Pro]=az+[Nom]=", "readable": "az[/N|Pro] + [Nom]", "twolevel": "a:a z:z :[/N|Pro] :[Nom]"}]	az	[/Det|Art.Def]
ájurvéda	" "	[]	ájurvéda	[/N][Nom]
ősi	" "	[{"lemma": "ősi", "tag": "[/Adj][Nom]", "morphana": "Ősi[/N]=ősi+[_Adjz:i/Adj]=+[Nom]=", "readable": "Ősi[/N]=ősi + [_Adjz:i/Adj] + [Nom]", "twolevel": "ő:Ő s:s i:i :[/N] :[_Adjz:i/Adj] :[Nom]"}, {"lemma": "ősi", "tag": "[/Adj][Nom]", "morphana": "ős[/N]=ős+i[_Adjz:i/Adj]=i+[Nom]=", "readable": "ős[/N] + i[_Adjz:i/Adj] + [Nom]", "twolevel": "ő:ő s:s :[/N] i:i :[_Adjz:i/Adj] :[Nom]"}, {"lemma": "ősi", "tag": "[/Adj][Nom]", "morphana": "ősi[/Adj]=ősi+[Nom]=", "readable": "ősi[/Adj] + [Nom]", "twolevel": "ő:ő s:s i:i :[/Adj] :[Nom]"}]	ősi	[/Adj][Nom]
könyvei	" "	[{"lemma": "könyv", "tag": "[/N][Pl.Poss.3Sg][Nom]", "morphana": "könyv[/N]=könyv+ei[Pl.Poss.3Sg]=ei+[Nom]=", "readable": "könyv[/N] + ei[Pl.Poss.3Sg] + [Nom]", "twolevel": "k:k ö:ö n:n y:y v:v :[/N] e:e i:i :[Pl.Poss.3Sg] :[Nom]"}]	könyv	[/N][Pl.Poss.3Sg][Nom]
időtlen	" "	[{"lemma": "időtlen", "tag": "[/Adj][Nom]", "morphana": "idő[/N]=idő+tlen[_Abe/Adj]=tlen+[Nom]=", "readable": "idő[/N] + tlen[_Abe/Adj] + [Nom]", "twolevel": "i:i d:d ő:ő :[/N] t:t l:l e:e n:n :[_Abe/Adj] :[Nom]"}, {"lemma": "időtlen", "tag": "[/Adj][_Manner:0/Adv]", "morphana": "idő[/N]=idő+tlen[_Abe/Adj]=tlen+[_Manner:0/Adv]=", "readable": "idő[/N] + tlen[_Abe/Adj] + [_Manner:0/Adv]", "twolevel": "i:i d:d ő:ő :[/N] t:t l:l e:e n:n :[_Abe/Adj] :[_Manner:0/Adv]"}, {"lemma": "időtlen", "tag": "[/Adj][Nom]", "morphana": "időtlen[/Adj]=időtlen+[Nom]=", "readable": "időtlen[/Adj] + [Nom]", "twolevel": "i:i d:d ő:ő t:t l:l e:e n:n :[/Adj] :[Nom]"}, {"lemma": "időtlen", "tag": "[/Adj][_Manner:0/Adv]", "morphana": "időtlen[/Adj]=időtlen+[_Manner:0/Adv]=", "readable": "időtlen[/Adj] + [_Manner:0/Adv]", "twolevel": "i:i d:d ő:ő t:t l:l e:e n:n :[/Adj] :[_Manner:0/Adv]"}]	időtlen	[/Adj][Nom]
igazságokat	" "	[{"lemma": "igazság", "tag": "[/N][Pl][Acc]", "morphana": "Igaz[/N]=igaz+ság[_Nz_Abstr/N]=ság+ok[Pl]=ok+at[Acc]=at", "readable": "Igaz[/N]=igaz + ság[_Nz_Abstr/N] + ok[Pl] + at[Acc]", "twolevel": "i:I g:g a:a z:z :[/N] s:s á:á g:g :[_Nz_Abstr/N] o:o k:k :[Pl] a:a t:t :[Acc]"}, {"lemma": "igazság", "tag": "[/N][Pl][Acc]", "morphana": "igaz[/Adj]=igaz+ság[_Nz_Abstr/N]=ság+ok[Pl]=ok+at[Acc]=at", "readable": "igaz[/Adj] + ság[_Nz_Abstr/N] + ok[Pl] + at[Acc]", "twolevel": "i:i g:g a:a z:z :[/Adj] s:s á:á g:g :[_Nz_Abstr/N] o:o k:k :[Pl] a:a t:t :[Acc]"}, {"lemma": "igazság", "tag": "[/N][Pl][Acc]", "morphana": "igazság[/N]=igazság+ok[Pl]=ok+at[Acc]=at", "readable": "igazság[/N] + ok[Pl] + at[Acc]", "twolevel": "i:i g:g a:a z:z s:s á:á g:g :[/N] o:o k:k :[Pl] a:a t:t :[Acc]"}]	igazság	[/N][Pl][Acc]
és	" "	[{"lemma": "és", "tag": "[/Cnj]", "morphana": "és[/Cnj]=és", "readable": "és[/Cnj]", "twolevel": "é:é s:s :[/Cnj]"}]	és	[/Cnj]
összefüggéseket	" "	[{"lemma": "összefüggés", "tag": "[/N][Pl][Acc]", "morphana": "össze[/Prev]=össze+függ[/V]=függ+és[_Ger/N]=és+ek[Pl]=ek+et[Acc]=et", "readable": "össze[/Prev] + függ[/V] + és[_Ger/N] + ek[Pl] + et[Acc]", "twolevel": "ö:ö s:s s:s z:z e:e :[/Prev] f:f ü:ü g:g g:g :[/V] é:é s:s :[_Ger/N] e:e k:k :[Pl] e:e t:t :[Acc]"}, {"lemma": "összefüggés", "tag": "[/N][Pl][Acc]", "morphana": "összefüggés[/N]=összefüggés+ek[Pl]=ek+et[Acc]=et", "readable": "összefüggés[/N] + ek[Pl] + et[Acc]", "twolevel": "ö:ö s:s s:s z:z e:e f:f ü:ü g:g g:g é:é s:s :[/N] e:e k:k :[Pl] e:e t:t :[Acc]"}]	összefüggés	[/N][Pl][Acc]
mondanak	" "	[{"lemma": "mond", "tag": "[/V][Prs.NDef.3Pl]", "morphana": "mond[/V]=mond+anak[Prs.NDef.3Pl]=anak", "readable": "mond[/V] + anak[Prs.NDef.3Pl]", "twolevel": "m:m o:o n:n d:d :[/V] a:a n:n a:a k:k :[ :P :r :s :. :N :D :e :f :. :3 :P :l :]"}]	mond	[/V][Prs.NDef.3Pl]
ki	""	[{"lemma": "aki", "tag": "[/N|Pro|Rel][Nom]", "morphana": "aki[/N|Pro|Rel]=ki+[Nom]=", "readable": "aki[/N|Pro|Rel]=ki + [Nom]", "twolevel": "k:a i:k :i :[/N|Pro|Rel] :[Nom]"}, {"lemma": "ki", "tag": "[/N|Pro][Nom]", "morphana": "ki[/N|Pro]=ki+[Nom]=", "readable": "ki[/N|Pro] + [Nom]", "twolevel": "k:k i:i :[/N|Pro] :[Nom]"}, {"lemma": "ki", "tag": "[/N|Pro|Int][Nom]", "morphana": "ki[/N|Pro|Int]=ki+[Nom]=", "readable": "ki[/N|Pro|Int] + [Nom]", "twolevel": "k:k i:i :[/N|Pro|Int] :[Nom]"}, {"lemma": "ki", "tag": "[/Prev]", "morphana": "ki[/Prev]=ki", "readable": "ki[/Prev]", "twolevel": "k:k i:i :[/Prev]"}]	ki	[/Prev]
,	" "	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]
amelyek	" "	[{"lemma": "amely", "tag": "[/N|Pro|Rel][Pl][Nom]", "morphana": "amely[/N|Pro|Rel]=amely+ek[Pl]=ek+[Nom]=", "readable": "amely[/N|Pro|Rel] + ek[Pl] + [Nom]", "twolevel": "a:a m:m e:e l:l y:y :[/N|Pro|Rel] e:e k:k :[Pl] :[Nom]"}]	amely	[/N|Pro|Rel][Pl][Nom]
által	" "	[{"lemma": "által", "tag": "[/Post]", "morphana": "által[/Post]=által", "readable": "által[/Post]", "twolevel": "á:á l:l t:t a:a l:l :[/Post]"}, {"lemma": "által", "tag": "[/Prev]", "morphana": "által[/Prev]=által", "readable": "által[/Prev]", "twolevel": "á:á l:l t:t a:a l:l :[/Prev]"}]	által	[/Post]
mindenki	" "	[{"lemma": "mindenki", "tag": "[/N|Pro][Nom]", "morphana": "mindenki[/N|Pro]=mindenki+[Nom]=", "readable": "mindenki[/N|Pro] + [Nom]", "twolevel": "m:m i:i n:n d:d e:e n:n k:k i:i :[/N|Pro] :[Nom]"}]	mindenki	[/N|Pro][Nom]
megtalálhatja	" "	[{"lemma": "megtalál", "tag": "[/V][_Mod/V][Prs.Def.3Sg]", "morphana": "meg[/Prev]=meg+talál[/V]=talál+hat[_Mod/V]=hat+ja[Prs.Def.3Sg]=ja", "readable": "meg[/Prev] + talál[/V] + hat[_Mod/V] + ja[Prs.Def.3Sg]", "twolevel": "m:m e:e g:g :[/Prev] t:t a:a l:l á:á l:l :[/V] h:h a:a t:t :[_Mod/V] j:j a:a :[Prs.Def.3Sg]"}]	megtalál	[/V][_Mod/V][Prs.Def.3Sg]
a	" "	[{"lemma": "a", "tag": "[/Det|Art.Def]", "morphana": "a[/Det|Art.Def]=a", "readable": "a[/Det|Art.Def]", "twolevel": "a:a :[/Det|Art.Def]"}, {"lemma": "a", "tag": "[/Det|Pro|(Post)]", "morphana": "a[/Det|Pro|(Post)]=a", "readable": "a[/Det|Pro|(Post)]", "twolevel": "a:a :[/Det|Pro|(Post)]"}, {"lemma": "a", "tag": "[/N][Nom]", "morphana": "a[/N|Ltr]=a+[Nom]=", "readable": "a[/N|Ltr] + [Nom]", "twolevel": "a:a :[/N|Ltr] :[Nom]"}, {"lemma": "a", "tag": "[/N|Pro|(Post)][Nom]", "morphana": "a[/N|Pro|(Post)]=a+[Nom]=", "readable": "a[/N|Pro|(Post)] + [Nom]", "twolevel": "a:a :[/N|Pro|(Post)] :[Nom]"}]	a	[/Det|Art.Def]
belső	" "	[{"lemma": "belső", "tag": "[/Adj][Nom]", "morphana": "belső[/Adj]=belső+[Nom]=", "readable": "belső[/Adj] + [Nom]", "twolevel": "b:b e:e l:l s:s ő:ő :[/Adj] :[Nom]"}]	belső	[/Adj][Nom]
harmónia	" "	[{"lemma": "harmónia", "tag": "[/N][Nom]", "morphana": "harmónia[/N]=harmónia+[Nom]=", "readable": "harmónia[/N] + [Nom]", "twolevel": "h:h a:a r:r m:m ó:ó n:n i:i a:a :[/N] :[Nom]"}]	harmónia	[/N][Nom]
és	" "	[{"lemma": "és", "tag": "[/Cnj]", "morphana": "és[/Cnj]=és", "readable": "és[/Cnj]", "twolevel": "é:é s:s :[/Cnj]"}]	és	[/Cnj]
egészség	" "	[{"lemma": "egészség", "tag": "[/N][Nom]", "morphana": "egész[/Adj]=egész+ség[_Nz_Abstr/N]=ség+[Nom]=", "readable": "egész[/Adj] + ség[_Nz_Abstr/N] + [Nom]", "twolevel": "e:e g:g é:é s:s z:z :[/Adj] s:s é:é g:g :[_Nz_Abstr/N] :[Nom]"}, {"lemma": "egészség", "tag": "[/N][Nom]", "morphana": "egészség[/N]=egészség+[Nom]=", "readable": "egészség[/N] + [Nom]", "twolevel": "e:e g:g é:é s:s z:z s:s é:é g:g :[/N] :[Nom]"}]	egészség	[/N][Nom]
felé	" "	[{"lemma": "felé", "tag": "[/Post][3Sg]", "morphana": "ő[/N|Pro]=+felé[/Post]=felé+[3Sg]=", "readable": "ő[/N|Pro]= + felé[/Post] + [3Sg]", "twolevel": ":ő :[/N|Pro] f:f e:e l:l é:é :[/Post] :[ :3 :S :g :]"}, {"lemma": "felé", "tag": "[/Post]", "morphana": "felé[/Post]=felé", "readable": "felé[/Post]", "twolevel": "f:f e:e l:l é:é :[/Post]"}]	felé	[/Post]
vezető	" "	[{"lemma": "vezető", "tag": "[/Adj][Nom]", "morphana": "vezet[/V]=vezet+ő[_ImpfPtcp/Adj]=ő+[Nom]=", "readable": "vezet[/V] + ő[_ImpfPtcp/Adj] + [Nom]", "twolevel": "v:v e:e z:z e:e t:t :[/V] ő:ő :[_ImpfPtcp/Adj] :[Nom]"}, {"lemma": "vezető", "tag": "[/N][Nom]", "morphana": "vezető[/N]=vezető+[Nom]=", "readable": "vezető[/N] + [Nom]", "twolevel": "v:v e:e z:z e:e t:t ő:ő :[/N] :[Nom]"}]	vezető	[/Adj][Nom]
utat	""	[{"lemma": "út", "tag": "[/N][Acc]", "morphana": "út[/N]=ut+at[Acc]=at", "readable": "út[/N]=ut + at[Acc]", "twolevel": "u:ú t:t :[/N] a:a t:t :[Acc]"}]	út	[/N][Acc]
,	" "	[{"lemma": ",", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	,	[Punct]
saját	" "	[{"lemma": "saját", "tag": "[/Adj][Nom]", "morphana": "saját[/Adj]=saját+[Nom]=", "readable": "saját[/Adj] + [Nom]", "twolevel": "s:s a:a j:j á:á t:t :[/Adj] :[Nom]"}]	saját	[/Adj][Nom]
egyéniségének	" "	[{"lemma": "egyéniség", "tag": "[/N][Poss.3Sg][Dat]", "morphana": "egy[/Num]=egy+én[/N]=én+i[_Adjz:i/Adj]=i+ség[_Nz_Abstr/N]=ség+e[Poss.3Sg]=é+nek[Dat]=nek", "readable": "egy[/Num] + én[/N] + i[_Adjz:i/Adj] + ség[_Nz_Abstr/N] + e[Poss.3Sg]=é + nek[Dat]", "twolevel": "e:e g:g y:y :[/Num] é:é n:n :[/N] i:i :[_Adjz:i/Adj] s:s é:é g:g :[_Nz_Abstr/N] é:e :[Poss.3Sg] n:n e:e k:k :[Dat]"}, {"lemma": "egyéniség", "tag": "[/N][AnP][Dat]", "morphana": "egy[/Num]=egy+én[/N]=én+i[_Adjz:i/Adj]=i+ség[_Nz_Abstr/N]=ség+é[AnP]=é+nek[Dat]=nek", "readable": "egy[/Num] + én[/N] + i[_Adjz:i/Adj] + ség[_Nz_Abstr/N] + é[AnP] + nek[Dat]", "twolevel": "e:e g:g y:y :[/Num] é:é n:n :[/N] i:i :[_Adjz:i/Adj] s:s é:é g:g :[_Nz_Abstr/N] é:é :[AnP] n:n e:e k:k :[Dat]"}, {"lemma": "egyéniség", "tag": "[/N][Poss.3Sg][Dat]", "morphana": "egyén[/N]=egyén+i[_Adjz:i/Adj]=i+ség[_Nz_Abstr/N]=ség+e[Poss.3Sg]=é+nek[Dat]=nek", "readable": "egyén[/N] + i[_Adjz:i/Adj] + ség[_Nz_Abstr/N] + e[Poss.3Sg]=é + nek[Dat]", "twolevel": "e:e g:g y:y é:é n:n :[/N] i:i :[_Adjz:i/Adj] s:s é:é g:g :[_Nz_Abstr/N] é:e :[Poss.3Sg] n:n e:e k:k :[Dat]"}, {"lemma": "egyéniség", "tag": "[/N][AnP][Dat]", "morphana": "egyén[/N]=egyén+i[_Adjz:i/Adj]=i+ség[_Nz_Abstr/N]=ség+é[AnP]=é+nek[Dat]=nek", "readable": "egyén[/N] + i[_Adjz:i/Adj] + ség[_Nz_Abstr/N] + é[AnP] + nek[Dat]", "twolevel": "e:e g:g y:y é:é n:n :[/N] i:i :[_Adjz:i/Adj] s:s é:é g:g :[_Nz_Abstr/N] é:é :[AnP] n:n e:e k:k :[Dat]"}, {"lemma": "egyéniség", "tag": "[/N][Poss.3Sg][Dat]", "morphana": "egyéni[/Adj]=egyéni+ség[_Nz_Abstr/N]=ség+e[Poss.3Sg]=é+nek[Dat]=nek", "readable": "egyéni[/Adj] + ség[_Nz_Abstr/N] + e[Poss.3Sg]=é + nek[Dat]", "twolevel": "e:e g:g y:y é:é n:n i:i :[/Adj] s:s é:é g:g :[_Nz_Abstr/N] é:e :[Poss.3Sg] n:n e:e k:k :[Dat]"}, {"lemma": "egyéniség", "tag": "[/N][AnP][Dat]", "morphana": "egyéni[/Adj]=egyéni+ség[_Nz_Abstr/N]=ség+é[AnP]=é+nek[Dat]=nek", "readable": "egyéni[/Adj] + ség[_Nz_Abstr/N] + é[AnP] + nek[Dat]", "twolevel": "e:e g:g y:y é:é n:n i:i :[/Adj] s:s é:é g:g :[_Nz_Abstr/N] é:é :[AnP] n:n e:e k:k :[Dat]"}, {"lemma": "egyéniség", "tag": "[/N][Poss.3Sg][Dat]", "morphana": "egyéniség[/N]=egyéniség+e[Poss.3Sg]=é+nek[Dat]=nek", "readable": "egyéniség[/N] + e[Poss.3Sg]=é + nek[Dat]", "twolevel": "e:e g:g y:y é:é n:n i:i s:s é:é g:g :[/N] é:e :[Poss.3Sg] n:n e:e k:k :[Dat]"}, {"lemma": "egyéniség", "tag": "[/N][AnP][Dat]", "morphana": "egyéniség[/N]=egyéniség+é[AnP]=é+nek[Dat]=nek", "readable": "egyéniség[/N] + é[AnP] + nek[Dat]", "twolevel": "e:e g:g y:y é:é n:n i:i s:s é:é g:g :[/N] é:é :[AnP] n:n e:e k:k :[Dat]"}]	egyéniség	[/N][Poss.3Sg][Dat]
és	" "	[{"lemma": "és", "tag": "[/Cnj]", "morphana": "és[/Cnj]=és", "readable": "és[/Cnj]", "twolevel": "é:é s:s :[/Cnj]"}]	és	[/Cnj]
életvitelének	" "	[{"lemma": "életvitel", "tag": "[/N][Poss.3Sg][Dat]", "morphana": "élet[/N]=élet+vitel[/N]=vitel+e[Poss.3Sg]=é+nek[Dat]=nek", "readable": "élet[/N] + vitel[/N] + e[Poss.3Sg]=é + nek[Dat]", "twolevel": "é:é l:l e:e t:t :[/N] v:v i:i t:t e:e l:l :[/N] é:e :[Poss.3Sg] n:n e:e k:k :[Dat]"}, {"lemma": "életvitel", "tag": "[/N][AnP][Dat]", "morphana": "élet[/N]=élet+vitel[/N]=vitel+é[AnP]=é+nek[Dat]=nek", "readable": "élet[/N] + vitel[/N] + é[AnP] + nek[Dat]", "twolevel": "é:é l:l e:e t:t :[/N] v:v i:i t:t e:e l:l :[/N] é:é :[AnP] n:n e:e k:k :[Dat]"}, {"lemma": "életvitel", "tag": "[/N][Poss.3Sg][Dat]", "morphana": "életvitel[/N]=életvitel+e[Poss.3Sg]=é+nek[Dat]=nek", "readable": "életvitel[/N] + e[Poss.3Sg]=é + nek[Dat]", "twolevel": "é:é l:l e:e t:t v:v i:i t:t e:e l:l :[/N] é:e :[Poss.3Sg] n:n e:e k:k :[Dat]"}, {"lemma": "életvitel", "tag": "[/N][AnP][Dat]", "morphana": "életvitel[/N]=életvitel+é[AnP]=é+nek[Dat]=nek", "readable": "életvitel[/N] + é[AnP] + nek[Dat]", "twolevel": "é:é l:l e:e t:t v:v i:i t:t e:e l:l :[/N] é:é :[AnP] n:n e:e k:k :[Dat]"}]	életvitel	[/N][Poss.3Sg][Dat]
megfelelően	""	[{"lemma": "megfelelő", "tag": "[/Adj][_Manner/Adv]", "morphana": "meg[/Prev]=meg+felel[/V]=felel+ő[_Adjz:Ó/Adj]=ő+en[_Manner/Adv]=en", "readable": "meg[/Prev] + felel[/V] + ő[_Adjz:Ó/Adj] + en[_Manner/Adv]", "twolevel": "m:m e:e g:g :[/Prev] f:f e:e l:l e:e l:l :[/V] ő:ő :[_Adjz:Ó/Adj] e:e n:n :[_Manner/Adv]"}]	megfelelő	[/Adj][_Manner/Adv]
.	"\n"	[{"lemma": ".", "tag": "[Punct]", "morphana": "", "readable": "", "twolevel": ""}]	.	[Punct]
